date,team_1,team_2,location,rank,elo,win_pct,scrape_date
Jul 2025,Hong Kong,Japan,East Asian Championship in South Korea,166 13,1135 1888,1.3% 98.7%,2025-02-26
Jul 2025,South Korea,China,East Asian Championship in South Korea,31 101,1773 1410,93% 7%,2025-02-26
Jul 2025,South Korea,Hong Kong,East Asian Championship in South Korea,31 166,1773 1135,98.6% 1.4%,2025-02-26
Jul 2025,South Korea,Japan,East Asian Championship in South Korea,31 13,1773 1888,48% 52%,2025-02-26
Sep 4 2025,Georgia,Turkey,World Cup qualifier in Georgia,47 29,1691 1774,52% 48%,2025-02-26
Sep 4 2025,Kazakhstan,Wales,World Cup qualifier in Kazakhstan,99 38,1413 1733,22% 78%,2025-02-26
Sep 4 2025,Liechtenstein,Belgium,World Cup qualifier in Liechtenstein,197 17,914 1851,0.8% 99.2%,2025-02-26
Sep 4 2025,Lithuania,Malta,World Cup qualifier in Lithuania,142 149,1284 1270,66% 34%,2025-02-26
Sep 4 2025,Luxembourg,Northern Ireland,World Cup qualifier in Luxembourg,91 69,1445 1560,48% 52%,2025-02-26
Sep 4 2025,Norway,Finland,Friendly in Norway,22 74,1805 1538,89% 11%,2025-02-26
Sep 5 2025,Greece,Belarus,World Cup qualifier in Greece,20 88,1813 1459,93% 7%,2025-02-26
Sep 5 2025,Iceland,Azerbaijan,World Cup qualifier in Iceland,65 107,1576 1399,83% 17%,2025-02-26
